<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.09	20:00:00	143.033	143.035	142.882	142.894	2987	0	7
2020.01.09	21:00:00	142.894	143.002	142.886	142.992	1454	0	8
2020.01.09	22:00:00	142.992	143.116	142.976	143.077	1353	0	6
2020.01.09	23:00:00	143.078	143.115	143.040	143.086	713	0	9
2020.01.10	00:00:00	143.088	143.139	143.015	143.069	1015	0	15
2020.01.10	01:00:00	143.069	143.148	143.043	143.102	1101	0	6
2020.01.10	02:00:00	143.102	143.227	143.041	143.075	2369	0	7
2020.01.10	03:00:00	143.075	143.135	143.034	143.099	1584	0	8
2020.01.10	04:00:00	143.099	143.124	143.032	143.113	1364	0	9
2020.01.10	05:00:00	143.117	143.149	143.094	143.135	1180	0	11
2020.01.10	06:00:00	143.135	143.293	143.119	143.248	1238	0	12
2020.01.10	07:00:00	143.248	143.398	143.202	143.335	1190	0	8
2020.01.10	08:00:00	143.333	143.441	143.313	143.360	1299	0	6
2020.01.10	09:00:00	143.362	143.393	143.050	143.098	2290	0	7
2020.01.10	10:00:00	143.098	143.222	142.970	143.180	3386	0	6
2020.01.10	11:00:00	143.180	143.458	143.078	143.277	4478	0	6
2020.01.10	12:00:00	143.277	143.335	143.088	143.116	3330	0	7
2020.01.10	13:00:00	143.116	143.379	143.096	143.311	2953	0	6
2020.01.10	14:00:00	143.309	143.491	143.297	143.451	2913	0	6
2020.01.10	15:00:00	143.447	143.484	143.223	143.305	5351	0	6
2020.01.10	16:00:00	143.305	143.371	143.058	143.183	4982	0	6
2020.01.10	17:00:00	143.183	143.332	143.047	143.088	4862	0	6
2020.01.10	18:00:00	143.095	143.107	142.887	142.994	3726	0	6
2020.01.10	19:00:00	142.994	143.057	142.888	142.996	2387	0	7
2020.01.10	20:00:00	142.998	143.058	142.989	142.998	1408	0	7
2020.01.10	21:00:00	143.000	143.068	142.983	143.055	1323	0	8
2020.01.10	22:00:00	143.055	143.061	142.958	142.971	3062	0	7
2020.01.10	23:00:00	142.967	143.053	142.912	143.048	2100	0	6
2020.01.13	00:00:00	142.777	142.847	142.730	142.768	2002	0	27
2020.01.13	01:00:00	142.768	142.933	142.763	142.893	1006	0	6
2020.01.13	02:00:00	142.893	142.903	142.825	142.864	1118	0	8
2020.01.13	03:00:00	142.864	142.913	142.834	142.906	1426	0	6
2020.01.13	04:00:00	142.906	142.946	142.839	142.891	1128	0	9
2020.01.13	05:00:00	142.891	142.931	142.846	142.922	1325	0	9
2020.01.13	06:00:00	142.922	142.964	142.895	142.909	967	0	8
2020.01.13	07:00:00	142.909	142.910	142.800	142.884	1299	0	8
2020.01.13	08:00:00	142.884	142.891	142.763	142.808	1274	0	10
2020.01.13	09:00:00	142.803	142.811	142.475	142.526	3486	0	7
2020.01.13	10:00:00	142.526	142.659	142.377	142.606	3877	0	7
2020.01.13	11:00:00	142.608	142.823	142.361	142.496	5124	0	7
2020.01.13	12:00:00	142.496	142.764	142.361	142.685	3479	0	6
2020.01.13	13:00:00	142.685	142.727	142.415	142.415	3174	0	6
2020.01.13	14:00:00	142.415	142.643	142.382	142.589	3145	0	7
2020.01.13	15:00:00	142.589	142.712	142.509	142.625	3605	0	7
2020.01.13	16:00:00	142.624	142.834	142.582	142.791	5006	0	7
2020.01.13	17:00:00	142.785	142.800	142.628	142.656	4419	0	7
2020.01.13	18:00:00	142.656	142.800	142.589	142.730	3380	0	7
2020.01.13	19:00:00	142.729	142.865	142.678	142.837	2118	0	7
2020.01.13	20:00:00	142.837	142.858	142.784	142.846	1752	0	8
2020.01.13	21:00:00	142.845	142.904	142.823	142.874	1462	0	9
2020.01.13	22:00:00	142.875	142.902	142.838	142.844	1939	0	7
2020.01.13	23:00:00	142.844	142.850	142.759	142.783	1191	0	7
2020.01.14	00:00:00	142.782	142.828	142.695	142.787	1570	0	47
2020.01.14	01:00:00	142.787	142.887	142.764	142.856	1302	0	8
